ANO_PAGAMENTO;NME_TRIBUTO;VLR_ARRECADADO
2023;Imp. Predial e Territ. Urbano;93466956.36
2024;Imp. Predial e Territ. Urbano;87533193.9
2023;ISS - Simples Nacional;2883789.8
2023;Taxas;9894129.26
2023;ISS-Fixo;625029.21
2023;Imp. Transm. Bens Inter Vivos;1092543.99
2023;ISS-Construção;1083438.76
2023;Outorga Onerosa;1033652.32
2024;Taxas;8019530.74
2024;Imp. Transm. Bens Inter Vivos;653657.79
2024;ISS-Fixo;525083.05
2024;ISS-Construção;1491292.17
2024;Outorga Onerosa;465271.0
2025;Imp. Predial e Territ. Urbano;11778771.72
2025;Imp. Transm. Bens Inter Vivos;119085.84
2025;Taxas;1492718.02
2024;ISS-Auto;5342834.23
2023;ISS-Auto;8565524.46
2025;ISS-Auto;626939.27
2023;ISS-Estimativa;557794.88
2024;ISS-Estimativa;532151.92
2025;ISS-Estimativa;90252.81
2023;ISS-Substituição;140291.59
2025;ISS-Construção;225652.1
2025;Multa - Imóveis;178822.49
2025;ISS-Retenção Fonte;53971.94
2025;ISS - Simples Nacional;548835.03
2025;ISS-Fixo;62479.44
2025;ISS - Simples Nacional - PJ;7725.08
2025;Outorga Onerosa;47503.43
2025;Outros Débitos não tributários;59856.8
2025;Multa - Pessoas;44004.18
2025;Multa - Comércio;56891.11
2025;Multa - ISS;56142.9
2025;Multa - Taxas;50500.34
2025;ISS-Substituição;23893.28
2025;Multa - Meio Ambiente;15753.29
2023;Multa - Imóveis;1696213.55
2023;Multa - ISS;602274.45
2023;Multa - Taxas;63835.91
2023;Multa - Comércio;433968.82
2023;Multa - Pessoas;858116.88
2023;Outros Débitos não tributários;729606.36
2023;ISS - Simples Nacional - PJ;35846.61
2023;Multa - Meio Ambiente;24008.91
2023;Multa - ITBI;408.26
2023;ISS-Retenção Fonte;755785.8
2024;Multa - Imóveis;1964061.19
2024;ISS - Simples Nacional;3637795.89
2024;Multa - ISS;266025.46
2024;ISS-Substituição;69472.5
2024;Multa - Taxas;61144.63
2024;Multa - Pessoas;870393.34
2024;Outros Débitos não tributários;377354.74
2024;Multa - Comércio;398518.37
2024;ISS - Simples Nacional - PJ;7547.78
2024;ISS-Retenção Fonte;1077613.4
2024;Multa - Meio Ambiente;37828.4
