ANO;NME_TRIBUTO;VLR_ORIGINAL;VLR_JUROS;VLR_MULTA;VLR_CORRECAO;VLR_ATUALIZADO
2025;Multa - Taxas;2777758.36;5341044.9;0.0;1583531.92;9685933.85
2025;ISS-Fixo;8951506.87;20667432.55;1805293.06;5499998.53;36816190.95
2025;ISS-Estimativa;11644079.92;48580705.84;2792592.82;12316433.1;75212164.83
2025;Outros Débitos não tributários;98592309.56;203489050.21;0.0;68452867.57;370285085.55
2025;ISS-Retenção Fonte;1411261.64;3340775.1;0.0;1114102.02;5840295.73
2025;Imp. Transm. Bens Inter Vivos;325373.62;44522.52;17597.83;13291.51;238098.77
2023;ISS-Substituição;1114624.38;1502943.38;157952.62;468315.59;3240417.35
2023;ISS - Simples Nacional;44688927.69;52289490.88;5811787.35;16206151.95;118329935.39
2023;Outorga Onerosa;3375286.52;1788704.56;355319.95;556939.17;5697223.63
2024;ISS-Fixo;7830766.96;19663233.54;1501385.94;4916044.4;33791299.64
2025;Imp. Predial e Territ. Urbano;480746588.19;905938610.29;75541442.79;249000323.94;1693214403.93
2025;Outorga Onerosa;3023145.03;2047424.77;359737.95;694827.65;6004541.48
2025;Multa - Meio Ambiente;480492.33;630686.21;0.0;211151.98;1315690.97
2025;Água e Esgoto;14412964.88;309936792.63;10418137.29;66763382.94;401530154.51
2024;ISS-Construção;7303556.68;7117087.28;918598.59;2053066.85;17222545.27
2023;Multa - ISS;20829057.15;238652170.55;0.0;61123495.45;320565557.96
2023;Multa - Taxas;1765084.4;5134244.25;0.0;1471658.03;8362621.38
2023;ISS-Retenção Fonte;1757675.33;3419100.53;0.0;1140485.54;6203823.44
2023;Imp. Transm. Bens Inter Vivos;599059.41;52717.23;53249.73;0.0;638464.21
2023;Multa - Uso do Solo;368.94;5450.62;0.0;1287.78;7107.36
2024;Multa - ISS;20420461.91;249546232.93;0.0;62095205.43;332032923.95
2025;Multa - Comércio;8556664.41;16430919.23;0.0;5118345.07;30009903.86
2025;Multa - Pessoas;23841742.98;108665037.92;0.0;31192419.71;163631551.56
2025;ISS-Auto;111998235.34;268790624.64;7001469.47;84821043.12;471312870.33
2023;Água e Esgoto;17102173.56;326672895.68;11298185.81;72256614.78;427325230.44
2023;Multa - Pessoas;23893090.33;99529060.55;0.0;28640899.94;151873035.25
2023;ISS-Estimativa;10689065.75;50505131.3;2780595.98;12489695.58;76248751.95
2023;Multa - Meio Ambiente;475979.43;507363.04;0.0;164109.81;1138461.3
2024;Multa - Pessoas;23669240.14;104691969.38;0.0;29170790.9;157463685.92
2023;Taxas;117092063.67;201384684.62;20453768.88;52422812.95;390118918.76
2023;Imp. Predial e Territ. Urbano;400605050.98;847006826.37;64605092.66;227876962.41;1515643233.88
2023;ISS - Simples Nacional - PJ;3761136.03;4480780.92;521001.14;1450310.62;10213361.34
2023;Multa - Comércio;7408224.11;14104708.69;0.0;4301467.92;25618668.14
2024;ISS-Estimativa;11739781.18;46181859.62;2684303.24;11309607.94;71783444.87
2024;Imp. Predial e Territ. Urbano;408491961.53;858731126.87;65110412.46;219733968.42;1532929384.67
2024;ISS - Simples Nacional;51140327.59;61915638.1;6625720.07;17908679.55;136878229.75
2024;Multa - Comércio;8205947.42;15432100.69;0.0;4506708.66;28043941.53
2024;Multa - Taxas;2599048.89;5042549.46;0.0;1397325.8;9024979.67
2024;Multa - Meio Ambiente;469456.52;590279.39;0.0;180590.31;1233417.46
2024;Água e Esgoto;15474053.52;317440927.74;10675872.67;68116372.08;411706102.59
2025;Multa - Imóveis;15945545.99;38287754.25;0.0;11363788.95;65347791.81
2025;ISS - Simples Nacional - PJ;4801547.48;6024863.18;679840.08;1996689.48;13502482.5
2025;ISS-Substituição;1314670.58;1752523.94;187869.21;569116.1;3819082.43
2024;Taxas;107788746.51;165741512.62;17651481.27;43834227.98;334087358.51
2024;ISS-Retenção Fonte;1416673.85;3146644.51;0.0;1002189.4;5537231.04
2024;Outros Débitos não tributários;98620152.13;191110274.0;0.0;60888903.98;350381696.98
2025;ISS - Simples Nacional;57203046.4;67765656.25;7606706.87;21654350.28;153515429.86
2023;ISS-Auto;100837896.92;224164534.3;4232380.78;70437401.77;391046145.89
2023;Multa - Imóveis;15767117.07;34158993.03;0.0;10037390.29;59413373.32
2023;ISS-Construção;6330057.93;6341042.5;780986.86;1949194.18;14932830.6
2023;Outros Débitos não tributários;99489792.92;166901697.57;0.0;55989642.98;321595471.82
2024;Multa - Imóveis;15911802.41;36134669.12;0.0;10170859.93;61953110.94
2024;ISS-Substituição;1347294.26;1692969.7;184333.76;500772.11;3720636.0
2024;Outorga Onerosa;2993176.35;1902293.8;340622.94;539026.01;5649145.91
2024;Imp. Transm. Bens Inter Vivos;366173.32;48519.49;21004.11;6611.46;279564.84
2025;Taxas;124991440.41;175985500.96;22090003.91;51272428.83;373451937.14
2025;ISS-Construção;8107171.41;7692923.35;1048336.67;2527136.56;19225552.45
2025;Multa - ISS;20307449.63;260164293.1;0.0;65284409.36;345729536.96
2023;ISS-Fixo;7338988.74;20374651.9;1380995.66;5252516.4;34169208.99
2024;ISS-Auto;112250365.57;253883467.6;6715970.61;76340093.66;447885763.52
2024;ISS - Simples Nacional - PJ;4373929.76;5537129.09;604567.16;1674644.96;12190265.06
